county,population_2019,households_2019,area_km2,density_per_km2
MOMBASA,1208333,378422,219.89648,5495.008378487914
KWALE,866820,173176,8253.65541,105.02255751430748
KILIFI,1453787,298472,12553.26504,115.80947230601927
TANA RIVER,315943,68242,37903.62209,8.33543029871423
LAMU,143920,37963,6283.02473,22.906164814665626
TAITA/TAVETA,340671,96429,17152.00571,19.861875384135466
GARISSA,841353,141394,44753.20037,18.79983985601162
WAJIR,781263,127932,56773.81413,13.760974350095157
MANDERA,867457,125763,25942.15093,33.43812941111433
MARSABIT,459785,77495,70944.26652,6.4809324636597845
ISIOLO,268002,58072,25349.18759,10.572409827671326
MERU,1545714,426360,7013.94615,220.37722659162418
THARAKA-NITHI,393177,109860,2564.35738,153.3237929574387
EMBU,608599,182743,2820.67485,215.76361415779633
KITUI,1136187,262942,30429.60586,37.3382095459057
MACHAKOS,1421932,402466,6037.26955,235.5256773320648
MAKUENI,987653,244669,8176.66642,120.78920054561796
NYANDARUA,638289,179686,3285.75857,194.2592513728116
NYERI,759164,248050,3324.98164,228.3212607453676
KIRINYAGA,610411,204188,1478.31076,412.9111527267785
MURANG'A,1056640,318105,2522.7671,418.8416758724973
KIAMBU,2417735,795241,2538.69668,952.3528427192807
TURKANA,926976,164519,68233.0758,13.585434763590122
WEST POKOT,621241,116182,9123.28014,68.09403969480651
SAMBURU,310327,65910,21089.68545,14.714633878050561
TRANS NZOIA,990341,223808,2495.17422,396.9025457468858
UASIN GISHU,1163186,304943,3398.61337,342.25311130344903
ELGEYO/MARAKWET,454480,99861,3032.05926,149.89152949471048
NANDI,885711,199426,2849.40171,310.84104318867696
BARINGO,666763,142518,10984.62209,60.6996758319976
LAIKIPIA,518560,149271,9507.64111,54.54139402197103
NAKURU,2162202,616046,7504.90539,288.1051642411178
NAROK,1157873,241125,17931.68124,64.57135750423366
KAJIADO,1117840,316179,21871.18482,51.110171177274154
KERICHO,901777,206036,2436.08845,370.17416177971694
BOMET,875689,187641,2507.07622,349.2869474865826
KAKAMEGA,1867579,433207,3016.62375,619.0957689038946
VIHIGA,590013,143365,563.75651,1046.5741672765782
BUNGOMA,1670570,358796,3023.93798,552.4484996216754
BUSIA,893681,198152,1699.78361,525.7616291523132
SIAYA,993183,250698,2529.73596,392.6034241138747
KISUMU,1155574,300745,2085.43324,554.1169948935886
HOMA BAY,1131950,262036,3152.52616,359.06125518082933
MIGORI,1116436,240168,2613.4842,427.182991961459
KISII,1266860,308054,1323.27643,957.36610377017
NYAMIRA,605576,150669,897.32251,674.8699528333465
NAIROBI CITY,4397073,1506888,703.87005,6246.995450367579
