county,teenage_pregnancy_pct,modern_contraceptive_use_pct,unmet_need_family_planning_pct,anc_4plus_visits_pct,skilled_delivery_pct,facility_delivery_pct,fully_vaccinated_basic_pct
Mombasa,10.8,42.1,19.1,65.3,95.5,94.1,93.4
Kwale,14.8,34.6,24.4,71.9,89.3,84.1,70.6
Kilifi,12.5,44.7,17.9,77.3,84.5,83.8,89.8
Tana River,17.6,23.2,33.6,61.2,59.2,51.1,73.5
Lamu,13.7,39.2,16.8,70.5,92.5,90.3,72.3
Taita Taveta,18.4,64.5,12.8,64.9,95.7,93.3,84.7
Garissa,14.8,11.1,10.8,31.2,68.1,61.4,22.9
Wajir,10.8,2.8,12.7,44.9,56.6,53.6,48.6
Mandera,14.6,1.8,17.3,40.4,54.7,50.4,29.1
Marsabit,29.4,5.6,37.6,67.1,68.7,59.3,68.8
Isiolo,16.7,28.7,27.3,52.9,85.0,83.7,69.7
Meru,23.6,69.7,7.8,45.0,90.9,71.6,81.9
Tharaka Nithi,9.9,67.9,9.7,63.2,95.1,74.9,94.9
Embu,14.4,75.2,2.2,62.0,96.3,86.3,90.7
Kitui,9.2,62.4,17.7,68.2,86.0,76.2,72.5
Machakos,11.3,66.4,6.7,76.9,95.3,93.1,87.8
Makueni,11.1,64.4,10.8,75.7,92.1,88.1,82.0
Nyandarua,5.2,66.7,8.6,60.6,98.0,95.3,94.9
Nyeri,4.5,70.5,4.9,82.2,99.1,99.1,78.2
Kirinyaga,7.3,70.8,6.7,67.6,97.3,91.6,87.3
Murang'a,7.4,67.3,5.3,58.3,96.2,83.9,95.3
Kiambu,11.9,68.2,8.0,66.8,98.2,89.2,87.8
Turkana,18.5,30.7,15.6,57.7,52.6,43.2,60.1
West Pokot,36.3,23.2,30.3,35.0,65.3,55.5,48.6
Samburu,50.1,25.4,29.4,56.3,56.6,49.1,65.8
Trans Nzoia,17.8,65.4,13.6,68.1,93.3,85.2,77.6
Uasin Gishu,10.7,62.7,13.3,71.9,95.3,91.0,89.5
Elgeyo Marakwet,12.1,59.0,13.5,51.5,97.5,85.4,69.8
Nandi,10.5,60.0,17.7,62.1,87.1,80.9,89.8
Baringo,20.3,47.7,16.6,49.4,83.0,58.1,84.8
Laikipia,9.1,64.5,4.7,65.5,92.6,87.1,83.7
Nakuru,17.3,66.6,8.3,73.4,93.4,93.5,91.5
Narok,28.1,52.2,14.8,55.3,70.1,64.2,74.9
Kajiado,21.8,57.3,12.5,81.2,85.3,82.7,61.3
Kericho,14.5,60.0,17.1,58.6,92.3,89.7,84.7
Bomet,9.0,57.8,16.7,53.3,88.2,56.5,83.9
Kakamega,15.1,63.4,13.4,73.3,95.7,90.0,90.7
Vihiga,7.7,60.1,18.3,79.4,97.2,90.9,95.9
Bungoma,18.6,63.7,14.6,72.5,87.2,79.3,88.2
Busia,18.3,55.4,18.6,70.7,87.6,83.7,81.9
Siaya,20.9,42.9,27.3,65.1,94.9,84.4,88.1
Kisumu,11.1,56.6,16.4,63.3,97.9,94.4,78.9
Homa Bay,23.2,54.3,17.0,68.8,91.2,86.4,75.8
Migori,23.0,54.7,20.1,58.5,92.6,89.2,85.6
Kisii,14.2,63.5,14.9,62.7,93.5,76.0,89.7
Nyamira,15.5,64.8,15.9,65.8,92.6,91.5,82.7
Nairobi City,8.4,56.2,12.5,80.5,99.4,93.4,77.2
